"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"811","RT @Jim_Jordan: Why can’t Democrats admit that Joe Biden caused the border crisis?",FALSE,0,NA,2022-12-02 02:21:50,FALSE,NA,"1598502672939814913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DanoBoston",3833,TRUE,FALSE,NA,NA
"812","RT @MarshaBlackburn: Every day, men and women drop everything to serve and protect our nation.

Joe Biden’s willing to discharge them becau…",FALSE,0,NA,2022-12-02 02:21:50,FALSE,NA,"1598502672470102017",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ktchndncr",813,TRUE,FALSE,NA,NA
"813","RT @MarshaBlackburn: Every day, men and women drop everything to serve and protect our nation.

Joe Biden’s willing to discharge them becau…",FALSE,0,NA,2022-12-02 02:21:49,FALSE,NA,"1598502667961049089",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Christi48550057",813,TRUE,FALSE,NA,NA
"814","RT @Jim_Jordan: Joe Biden’s Treasury Secretary is blaming inflation on YOU because YOU spent too much of YOUR own money. 

That’s insane.…",FALSE,0,NA,2022-12-02 02:21:47,FALSE,NA,"1598502660331556864",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","pagjr65",1184,TRUE,FALSE,NA,NA
"815","RT @ACTBrigitte: President Trump worked for free. Joe Biden is working for China.",FALSE,0,NA,2022-12-02 02:21:46,FALSE,NA,"1598502655457894401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","talley12_talley",1471,TRUE,FALSE,NA,NA
"816","Lance Gross &amp; Eva were a nice looking couple. Where’s that video of her crying watching Joe Biden be a bullshitter? 😂😂😂😂😂😂😂",FALSE,0,NA,2022-12-02 02:21:45,FALSE,NA,"1598502652459061253",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JustJenn_5",0,FALSE,FALSE,NA,NA
"817","RT @Jim_Jordan: Why can’t Democrats admit that Joe Biden caused the border crisis?",FALSE,0,NA,2022-12-02 02:21:45,FALSE,NA,"1598502651678826496",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","f39612",3833,TRUE,FALSE,NA,NA
"818","RT @RQPoliticalBlog: No one cares about Trump's Tax Returns. We care about Joe Biden's business ties to China, Russia &amp; especially Ukraine.",FALSE,0,NA,2022-12-02 02:21:45,FALSE,NA,"1598502651322327040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SharonBlankens8",55,TRUE,FALSE,NA,NA
"819","RT @ACTBrigitte: President Trump worked for free. Joe Biden is working for China.",FALSE,0,NA,2022-12-02 02:21:44,FALSE,NA,"1598502645207023616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kimpatriot45",1471,TRUE,FALSE,NA,NA
"820","RT @MarshaBlackburn: Every day, men and women drop everything to serve and protect our nation.

Joe Biden’s willing to discharge them becau…",FALSE,0,NA,2022-12-02 02:21:43,FALSE,NA,"1598502641444990976",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Carolyn49295412",813,TRUE,FALSE,NA,NA
"821","RT @HawleyMO: At the behest of Joe Biden, US Senate now using federal law to force railroad workers to accept contracts they voted to reject",FALSE,0,NA,2022-12-02 02:21:41,FALSE,NA,"1598502632775114754",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SundayRice17",1325,TRUE,FALSE,NA,NA
"822","RT @tiffanyandsadie: If they truly do a bot purge, Joe Biden will have 100 followers left.",FALSE,0,NA,2022-12-02 02:21:40,FALSE,NA,"1598502632426962944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hollandbrownwh",36,TRUE,FALSE,NA,NA
